:START_ID,:END_ID,relation,concepts,synsets,:TYPE
"The packaging materials shall be comprised of 100% recycled material or be readily recyclable, decomposable, or contain no coatings, impregnated chemicals or other materials that would prevent recycling or decomposition.","The packaging materials shall: - o Be comprised of 100% recycled material or be readily recyclable, decomposable, or contain no coatings, impregnated chemicals or other materials that would prevent recycling or decomposition.",because,[],[],Relation
"Verification Documentation describing the packaging materials used as well as their chemical composition (if any and where applicable), treatment process and recyclability should be submitted.","The packaging materials shall be comprised of 100% recycled material or be readily recyclable, decomposable, or contain no coatings, impregnated chemicals or other materials that would prevent recycling or decomposition.",after,[],[],Relation
Manufacturers have been investigating and adopting innovative technologies to enhance the durability and environmental performance of the glazing products.,"Durability and environmental performance of glazing products is advocated in the glazing industry due to the increasing awareness of ""green products"" among the contractors, architects and end-users, etc.",because,[],[],Relation
Manufacturers have been investigating and adopting innovative technologies to enhance the durability and environmental performance of the glazing products.,"For example, high durability of glazing products can reduce resource consumption.",as a result,[],[],Relation
"The technology adopted in the glazing manufacturing that can enable the glazing products to reduce resources used in: - o Maintenance, e.g. self-cleaning glass, etc.",High durability of glazing products can reduce resource consumption.,as a result,[],[],Relation
"The technology adopted in the glazing manufacturing that can enable the glazing products to reduce resources used in: - o Maintenance, e.g. self-cleaning glass, etc.","The technology adopted in the glazing manufacturing that can enable the glazing products to reduce resources used in: - o Energy, such as lighting, e.g. instantly reactive glazing technology that changes the glass from clear to a dark blue tint, self-tinted glass, etc.",at the same time,[],[],Relation
The overall heat transfer coefficient or U-value measures how well a glazing product transfer heat.,"A low U-value indicates the glazing product is well insulated, resulting in a reduction of cooling load.",at the same time,[],[],Relation
The overall heat transfer coefficient or U-value measures how well a glazing product transfer heat.,"In this Standard, the U-value of the single, double or tripled glazing products shall meet the requirements.",after,[],[],Relation
"Verification Documentation related to the above product information and instructions, web pages and any other information freely available to customers or the public.",Customers,is participated by,[],[],Relation
"Verification Documentation related to the above product information and instructions, web pages and any other information freely available to customers or the public.",Public,is participated by,[],[],Relation
"Verification Documentation related to the above product information and instructions, web pages and any other information freely available to customers or the public.",Documentation,is participated by,[],[],Relation
"The packaging materials shall: - Not contain halogenated plastics, and - Be comprised of 100% recycled material or be readily recyclable, decomposable, or contain no coatings, impregnated chemicals or other materials that would prevent recycling or decomposition.",Packaging Materials,is participated by,[],[],Relation
"The packaging materials shall: - Not contain halogenated plastics, and - Be comprised of 100% recycled material or be readily recyclable, decomposable, or contain no coatings, impregnated chemicals or other materials that would prevent recycling or decomposition.",Halogenated Plastics,is participated by,[],[],Relation
"The packaging materials shall: - Not contain halogenated plastics, and - Be comprised of 100% recycled material or be readily recyclable, decomposable, or contain no coatings, impregnated chemicals or other materials that would prevent recycling or decomposition.",Recycled Material,is participated by,[],[],Relation
"Verification Documentation describing the packaging materials used as well as their chemical composition (if any and where applicable), treatment process and recyclability should be submitted.",Packaging Materials,is participated by,[],[],Relation
"Verification Documentation describing the packaging materials used as well as their chemical composition (if any and where applicable), treatment process and recyclability should be submitted.",Verification Documentation,is participated by,[],[],Relation
Manufacturers have been investigating and adopting innovative technologies to enhance the durability and environmental performance of the glazing products.,Manufacturers,is participated by,[],[],Relation
Manufacturers have been investigating and adopting innovative technologies to enhance the durability and environmental performance of the glazing products.,Glazing Products,is participated by,[],[],Relation
Manufacturers have been investigating and adopting innovative technologies to enhance the durability and environmental performance of the glazing products.,Technologies,is participated by,[],[],Relation
"The technology adopted in the glazing manufacturing that can enable the glazing products to reduce resources used in: - o Maintenance, e.g. self-cleaning glass, etc. Or - o Energy, such as lighting, e.g. instantly reactive glazing technology that changes the glass from clear to a dark blue tint, self-tinted glass, etc.",Glazing Manufacturing,is participated by,[],[],Relation
"The technology adopted in the glazing manufacturing that can enable the glazing products to reduce resources used in: - o Maintenance, e.g. self-cleaning glass, etc. Or - o Energy, such as lighting, e.g. instantly reactive glazing technology that changes the glass from clear to a dark blue tint, self-tinted glass, etc.",Glazing Products,is participated by,[],[],Relation
"The technology adopted in the glazing manufacturing that can enable the glazing products to reduce resources used in: - o Maintenance, e.g. self-cleaning glass, etc. Or - o Energy, such as lighting, e.g. instantly reactive glazing technology that changes the glass from clear to a dark blue tint, self-tinted glass, etc.",Technology,is participated by,[],[],Relation
"The technology adopted in the glazing manufacturing that can enable the glazing products to reduce resources used in: - o Maintenance, e.g. self-cleaning glass, etc. Or - o Energy, such as lighting, e.g. instantly reactive glazing technology that changes the glass from clear to a dark blue tint, self-tinted glass, etc.",Maintenance,is participated by,[],[],Relation
"The technology adopted in the glazing manufacturing that can enable the glazing products to reduce resources used in: - o Maintenance, e.g. self-cleaning glass, etc. Or - o Energy, such as lighting, e.g. instantly reactive glazing technology that changes the glass from clear to a dark blue tint, self-tinted glass, etc.",Energy,is participated by,[],[],Relation
Verification Documentation describing the extra environmental features adopted as well as the product functions generated by the technology.,Technology,is participated by,[],[],Relation
Verification Documentation describing the extra environmental features adopted as well as the product functions generated by the technology.,Product Functions,is participated by,[],[],Relation
Verification Documentation describing the extra environmental features adopted as well as the product functions generated by the technology.,Verification Documentation,is participated by,[],[],Relation
The overall heat transfer coefficient or U-value measures how well a glazing product transfer heat.,Glazing Product,is participated by,[],[],Relation
The overall heat transfer coefficient or U-value measures how well a glazing product transfer heat.,U-value,is participated by,[],[],Relation
"A low U-value indicates the glazing product is well insulated, resulting in a reduction of cooling load.",U-value,is participated by,[],[],Relation
"A low U-value indicates the glazing product is well insulated, resulting in a reduction of cooling load.",Glazing Product,is participated by,[],[],Relation
"A low U-value indicates the glazing product is well insulated, resulting in a reduction of cooling load.",Cooling Load,is participated by,[],[],Relation
U-value,ISO 8990 or EN-ISO 12567 standard,should be measured according to,[],[],Relation
U-value,EN673 (Glazing) and EN ISO 10077 (Frame / Casement),can be calculated according to,[],[],Relation
Shading coefficient,equation below,can be converted according to,[],[],Relation
Shading coefficient,Table 2,shall meet the limits below,[],[],Relation
Solar heat gain coefficient,Table 2,shall meet the limits below,[],[],Relation
Visible light transmittance,50%,shall be greater than,[],[],Relation
Visible light transmittance,70%,shall be,[],[],Relation
External reflectance,20%,shall be less than,[],[],Relation
Spectral measurements,ASTM E903,shall comply with,[],[],Relation
SHGC and VLT,EN 410 or ISO 9050 standard,should be measured in accordance with,[],[],Relation
The U-value of the product should be measured according to the applicable ISO 8990 or EN-ISO 12567 standard.,"Alternatively, the U-value can be calculated according to the standard EN673 (Glazing) and EN ISO 10077 (Frame / Casement).",because,[],[],Relation
The U-value of the product should be measured according to the applicable ISO 8990 or EN-ISO 12567 standard.,The U-value of the product should be measured according to the applicable ISO 8990 or EN-ISO 12567 standard.,before,[],[],Relation
The Applicant shall have effective energy management policies and procedures.,5 Points (Core Criterion) will be awarded for Energy Management in Manufacturing.,because,[],[],Relation
The Applicant shall have effective energy management policies and procedures.,"Laboratory test report(s) on the SC, SHGC, external reflectance and VLT of the glazing product are required.",at the same time,[],[],Relation
Bonus points will be awarded if the U-value of the product reaches the standard in Table 1.,The U-value of the product should be measured according to the applicable ISO 8990 or EN-ISO 12567 standard.,because,[],[],Relation
Bonus points will be awarded if the U-value of the product reaches the standard in Table 1.,Bonus points will be awarded if SC or SHGC of the product the standard in Table 2.,at the same time,[],[],Relation
Bonus points will be awarded if SC or SHGC of the product the standard in Table 2.,SC or SHGC of the glazing products shall meet the limits below (Table 2).,because,[],[],Relation
The U-value of the product should be measured according to the applicable ISO 8990 or EN-ISO 12567 standard.,"Alternatively, the U-value can be calculated according to the standard EN673 (Glazing) and EN ISO 10077 (Frame / Casement).",at the same time,[],[],Relation
Bonus points will be awarded if VLT of the product shall be reach 70%.,VLT of the glazing product shall be greater than 50%.,because,[],[],Relation
Bonus points will be awarded if VLT of the product shall be reach 70%.,5 Bonus Points (Core Criterion) will be awarded for Visible Light Transmittance.,at the same time,[],[],Relation
Bonus points will be awarded if SC or SHGC of the product the standard in Table 2.,Bonus points will be awarded if VLT of the product shall be reach 70%.,at the same time,[],[],Relation
"Laboratory test report(s) on the SC, SHGC, external reflectance and VLT of the glazing product are required.",The Applicant shall have effective energy management policies and procedures.,because,[],[],Relation
"Laboratory test report(s) on the SC, SHGC, external reflectance and VLT of the glazing product are required.",Bonus points will be awarded if the U-value of the product reaches the standard in Table 1.,at the same time,[],[],Relation
The Applicant shall have effective energy management policies and procedures.,Bonus points will be awarded if the U-value of the product reaches the standard in Table 1.,at the same time,[],[],Relation
Bonus points will be awarded if the U-value of the product reaches the standard in Table 1.,Product,is participated by,[],[],Relation
Bonus points will be awarded if the U-value of the product reaches the standard in Table 1.,Table 1,is participated by,[],[],Relation
Bonus points will be awarded if SC or SHGC of the product the standard in Table 2.,Product,is participated by,[],[],Relation
Bonus points will be awarded if SC or SHGC of the product the standard in Table 2.,Table 2,is participated by,[],[],Relation
FIVE bonus points will be awarded if VLT of the product shall be reach 70%.,Product,is participated by,[],[],Relation
The external reflectance of glazing product shall be less than 20%.,Glazing product,is participated by,[],[],Relation
The Applicant shall have effective energy management policies and procedures.,Applicant,is participated by,[],[],Relation
Laboratory test report(s) on the U-value of the glazing product.,Laboratory,is participated by,[],[],Relation
Laboratory test report(s) on the U-value of the glazing product.,Glazing product,is participated by,[],[],Relation
The U-value should be measured according to the applicable ISO 8990 or EN-ISO 12567 standard.,ISO 8990,is participated by,[],[],Relation
The U-value should be measured according to the applicable ISO 8990 or EN-ISO 12567 standard.,EN-ISO 12567,is participated by,[],[],Relation
The U-value can be calculated according to the standard EN673 (Glazing) and EN ISO 10077 (Frame / Casement).,EN673,is participated by,[],[],Relation
The U-value can be calculated according to the standard EN673 (Glazing) and EN ISO 10077 (Frame / Casement).,EN ISO 10077,is participated by,[],[],Relation
Spectral measurements shall comply with ASTM E903.,ASTM E903,is participated by,[],[],Relation
The SHGC and VLT should be measured in accordance with the EN 410 or ISO 9050 standard.,EN 410,is participated by,[],[],Relation
The SHGC and VLT should be measured in accordance with the EN 410 or ISO 9050 standard.,ISO 9050,is participated by,[],[],Relation
energy management programme,initiatives,submit,[],[],Relation
Chief Executive Officer,energy management policies,write,[],[],Relation
hazardous substances,carcinogenic substances,contain,[],[],Relation
carcinogenic substances,International Agency for Research on Cancer,be classified,[],[],Relation
glazing product,organotin compounds,not contain,[],[],Relation
glazing product,phthalates,not contain,[],[],Relation
glazing product,polybrominated diphenyl ethers,not contain,[],[],Relation
tinted glazing product,toxic heavy metals,not contain,[],[],Relation
double/triple glazing product,chlorinated / brominated paraffins,not contain,[],[],Relation
insulating units,filler gases,not use,[],[],Relation
laboratory test report,compliance,demonstrate,[],[],Relation
evaluation criteria,points,award,[],[],Relation
The followings shall be submitted as support for an energy management programme.,the energy management programme is a requirement.,because,[],[],Relation
"The Applicant must submit verification of energy management policies, procedures and programmes.",the energy management programme is a requirement.,because,[],[],Relation
The glazing product shall not contain any carcinogenic substances or chemicals.,the International Agency for Research on Cancer (IARC) classifies them as carcinogenic.,because,[],[],Relation
Any such carcinogens which are known to be present as contaminants shall be less than 0.1% by weight of the product.,the product shall not contain any carcinogenic substances or chemicals.,because,[],[],Relation
"The product shall also not contain organotin compounds, phthalates or polybrominated diphenyl ethers (PBDEs).",they are classified as harmful or toxic in accordance with EU Directives 2001/59/EC.,because,[],[],Relation
"The product shall not contain toxic heavy metals, or ingredients containing heavy metals.",they are harmful to human health and the environment.,because,[],[],Relation
"The product shall not contain chlorinated / brominated paraffins, and filler gases with 100-year global warming potential (GWP100) > 5.",they are harmful to the environment and contribute to climate change.,because,[],[],Relation
"Laboratory test report(s), MSDS, self-declaration letter and production documentation shall be submitted to demonstrate compliance.",the product must comply with the criteria mentioned above.,because,[],[],Relation
The points for meeting each criterion stated in Section 4 are summarised in Table 2.,the evaluation criteria are listed in Table 2.,at the same time,[],[],Relation
"The Applicant shall submit energy management policies, procedures and programmes that is written or signed by Chief Executive Officer or other authorised representative of the Applicant.",Applicant,is participated by,[],[],Relation
"The Applicant shall submit energy management policies, procedures and programmes that is written or signed by Chief Executive Officer or other authorised representative of the Applicant.",Chief Executive Officer,is participated by,[],[],Relation
"The Applicant shall submit energy management policies, procedures and programmes that is written or signed by Chief Executive Officer or other authorised representative of the Applicant.",other authorised representative,is participated by,[],[],Relation
"The glazing product shall not contain any carcinogenic substances or chemicals that are classified by the International Agency for Research on Cancer (IARC) in Group 1, 2A or 2B.",glazing product,is participated by,[],[],Relation
"The glazing product shall not contain any carcinogenic substances or chemicals that are classified by the International Agency for Research on Cancer (IARC) in Group 1, 2A or 2B.",International Agency for Research on Cancer (IARC),is participated by,[],[],Relation
Any such carcinogens which are known to be present as contaminants shall be less than 0.1% by weight of the product.,carcinogens,is participated by,[],[],Relation
Any such carcinogens which are known to be present as contaminants shall be less than 0.1% by weight of the product.,product,is participated by,[],[],Relation
"The product shall also not contain organotin compounds, phthalates or polybrominated diphenyl ethers (PBDEs), and classified as harmful – R20, 21 or 22, toxic – R23, 24 or 25, or very toxic – R26, 27, in accordance with EU Directives 2001/59/EC.",product,is participated by,[],[],Relation
"The product shall also not contain organotin compounds, phthalates or polybrominated diphenyl ethers (PBDEs), and classified as harmful – R20, 21 or 22, toxic – R23, 24 or 25, or very toxic – R26, 27, in accordance with EU Directives 2001/59/EC.",EU Directives 2001/59/EC,is participated by,[],[],Relation
"The product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb) and cobalt (Co).",product,is participated by,[],[],Relation
"The product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb) and cobalt (Co).",lead (Pb),is participated by,[],[],Relation
"The product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb) and cobalt (Co).",cadmium (Cd),is participated by,[],[],Relation
"The product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb) and cobalt (Co).",mercury (Hg),is participated by,[],[],Relation
"The product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb) and cobalt (Co).",chromium (Cr),is participated by,[],[],Relation
"The product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb) and cobalt (Co).",arsenic (As),is participated by,[],[],Relation
"The product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb) and cobalt (Co).",selenium (Se),is participated by,[],[],Relation
"The product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb) and cobalt (Co).",antimony (Sb),is participated by,[],[],Relation
"The product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb) and cobalt (Co).",cobalt (Co),is participated by,[],[],Relation
"The product shall not contain chlorinated / brominated paraffins, and filler gases with 100-year global warming potential (GWP100) > 5 shall not be used in the insulating units.",product,is participated by,[],[],Relation
"The product shall not contain chlorinated / brominated paraffins, and filler gases with 100-year global warming potential (GWP100) > 5 shall not be used in the insulating units.",insulating units,is participated by,[],[],Relation
"Laboratory test report(s), MSDS, self-declaration letter and production documentation to demonstrate the compliance with the criteria mentioned above shall be submitted.",Applicant,is participated by,[],[],Relation
"Laboratory test report(s), MSDS, self-declaration letter and production documentation to demonstrate the compliance with the criteria mentioned above shall be submitted.",Laboratory,is participated by,[],[],Relation
"Laboratory test report(s), MSDS, self-declaration letter and production documentation to demonstrate the compliance with the criteria mentioned above shall be submitted.",MSDS,is participated by,[],[],Relation
"Laboratory test report(s), MSDS, self-declaration letter and production documentation to demonstrate the compliance with the criteria mentioned above shall be submitted.",self-declaration letter,is participated by,[],[],Relation
"Laboratory test report(s), MSDS, self-declaration letter and production documentation to demonstrate the compliance with the criteria mentioned above shall be submitted.",production documentation,is participated by,[],[],Relation
The points for meeting each criterion stated in Section 4 are summarised in Table 2.,Section 4,is participated by,[],[],Relation
The points for meeting each criterion stated in Section 4 are summarised in Table 2.,Table 2,is participated by,[],[],Relation
Green Label,product category,is awarded to,[],[],Relation
product category,50 points,requires,[],[],Relation
50 points,meeting all minimum requirements,are obtained by,[],[],Relation
meeting all minimum requirements,Core Criteria,involves,[],[],Relation
Core Criteria,minimum requirements,lays down,[],[],Relation
minimum requirements,grade glazing,are used to,[],[],Relation
grade glazing,Benchmarks,uses,[],[],Relation
Benchmarks,Platinum,includes,[],[],Relation
Benchmarks,Gold,includes,[],[],Relation
Benchmarks,Silver,includes,[],[],Relation
Benchmarks,Bronze,includes,[],[],Relation
Benchmarks,Green,includes,[],[],Relation
Benchmarks,No Label,includes,[],[],Relation
"To obtain 50 points, a company must meet all minimum requirements laid down in the 'Core Criteria'.",A company's decision to be awarded a 'Green' Label under this product category is to obtain 50 points.,because,[],[],Relation
A company's decision to be awarded a 'Green' Label under this product category is to obtain 50 points.,The company must meet all minimum requirements laid down in the 'Core Criteria'.,before,[],[],Relation
A company's decision to be awarded a 'Green' Label under this product category is to obtain 50 points.,The company is eligible for a 'Green' Label under this product category.,at the same time,[],[],Relation
The company is eligible for a 'Green' Label under this product category.,The company meets all minimum requirements laid down in the 'Core Criteria'.,at the same time,[],[],Relation
The company meets all minimum requirements laid down in the 'Core Criteria'.,The company has 50 points or more.,because,[],[],Relation
The company has 50 points or more.,The company meets all minimum requirements laid down in the 'Core Criteria'.,because,[],[],Relation
The company has 50 points or more.,The company is eligible for a 'Green' Label under this product category.,at the same time,[],[],Relation
The company has 90 points or more.,The company meets all minimum requirements laid down in the 'Core Criteria' and has additional points beyond the 50 points.,because,[],[],Relation
The company has 90 points or more.,The company is eligible for a 'Platinum' Label under this product category.,at the same time,[],[],Relation
The company has 80-89 points.,The company meets all minimum requirements laid down in the 'Core Criteria' and has additional points between 50 and 89 points.,because,[],[],Relation
The company has 80-89 points.,The company is eligible for a 'Gold' Label under this product category.,at the same time,[],[],Relation
The company has 70-79 points.,The company meets all minimum requirements laid down in the 'Core Criteria' and has additional points between 50 and 79 points.,because,[],[],Relation
The company has 70-79 points.,The company is eligible for a 'Silver' Label under this product category.,at the same time,[],[],Relation
The company has 60-69 points.,The company meets all minimum requirements laid down in the 'Core Criteria' and has additional points between 50 and 69 points.,because,[],[],Relation
The company has 60-69 points.,The company is eligible for a 'Bronze' Label under this product category.,at the same time,[],[],Relation
The company has 50-59 points.,The company meets all minimum requirements laid down in the 'Core Criteria' and has additional points between 50 and 59 points.,because,[],[],Relation
The company has 50-59 points.,The company is eligible for a 'Green' Label under this product category.,at the same time,[],[],Relation
The company has less than 50 points.,The company does not meet all minimum requirements laid down in the 'Core Criteria'.,because,[],[],Relation
The company has less than 50 points.,The company is not eligible for a 'Green' Label under this product category.,at the same time,[],[],Relation
A product must obtain 50 points to be awarded a Green Label.,Product,is participated by,[],[],Relation
The product must meet all minimum requirements laid down in the Core Criteria.,Product,is participated by,[],[],Relation
The product must meet all minimum requirements laid down in the Core Criteria.,Core Criteria,is participated by,[],[],Relation
Products are graded based on the points required for each grade.,Products,is participated by,[],[],Relation
Products are graded based on the points required for each grade.,Grades,is participated by,[],[],Relation
The Platinum grade requires 90 or above points.,Platinum grade,is participated by,[],[],Relation
The Gold grade requires 80 - 89 points.,Gold grade,is participated by,[],[],Relation
The Silver grade requires 70 - 79 points.,Silver grade,is participated by,[],[],Relation
The Bronze grade requires 60 - 69 points.,Bronze grade,is participated by,[],[],Relation
The Green grade requires 50 - 59 points.,Green grade,is participated by,[],[],Relation
No Label is awarded below 50 points.,No Label,is participated by,[],[],Relation
